#Pos	Phred	prob	A->C	A->G	A->T	A->N	C->A	C->G	C->T	C->N	G->A	G->C	G->T	G->N	T->A	T->C	T->G	T->N
0	A	0.31146402130554	45475	39135	39499	0	68027	45500	37744	0	43812	59879	34993	0	46275	53258	38715	0
0	#	0.004556419879144402	0	0	0	9660	0	0	0	13405	0	0	0	14407	0	0	0	10414
0	K	0.3248164267852329	20221	18368	50091	0	37949	19713	46923	0	31535	19232	28423	0	33505	24208	19873	0
0	,	0.12951028334468964	36540	35900	22993	0	25502	28502	25383	0	22122	24638	24701	0	23092	33593	42788	0
0	<	0.07022620437169295	5064	5327	4915	0	5480	6449	5439	0	4211	5087	4531	0	4769	5779	6472	0
0	7	0.05303053874626804	4772	4675	3271	0	3294	4765	3779	0	2673	3908	3319	0	3193	4636	6164	0
0	F	0.08801447290835103	3591	3621	5529	0	3717	4480	5326	0	3481	3618	4133	0	3821	4634	4656	0
0	(	0.018381632659081007	15822	18981	542	0	1273	13689	1380	0	1400	11806	1461	0	677	14845	19679	0
1	A	0.3139750349824966	36196	32563	41823	0	34465	35682	40456	0	38481	46221	41029	0	29970	34225	28114	0
1	K	0.3768553765186649	20201	17676	21694	0	18527	17790	23672	0	24260	23171	25316	0	17825	20915	16584	0
1	,	0.09263462204290926	27637	23537	19048	0	19835	22916	20843	0	19626	22236	22651	0	18771	24714	30754	0
1	<	0.06416435790280754	5020	5024	5231	0	4596	6063	5672	0	4749	5404	5746	0	4304	5353	5643	0
1	F	0.10033262763839518	4063	3943	3814	0	3433	4561	4506	0	4083	4614	4635	0	3359	4504	4186	0
1	7	0.040013750246441084	4231	3578	2814	0	2867	4441	3287	0	2898	4024	3448	0	2788	3914	4770	0
1	(	0.011936268692990715	8429	8573	760	0	1515	9650	1567	0	1884	9202	1640	0	847	6969	10102	0
1	#	8.796197529467975e-05	0	0	0	221	0	0	0	237	0	0	0	218	0	0	0	248
2	F	0.3057626789930381	30379	27208	31607	0	26692	29460	30804	0	32039	42427	34925	0	24947	28620	24768	0
2	A	0.10969291964571652	7023	7375	8356	0	6604	8575	8805	0	7714	8838	9824	0	6327	7241	7533	0
2	K	0.3803441672983722	16210	19385	16468	0	19226	21501	19807	0	21998	21170	20990	0	16301	17922	19002	0
2	,	0.09148265284719025	26229	23216	18695	0	19788	23006	20703	0	18887	22655	22719	0	18006	23952	30245	0
2	<	0.06140759307885648	4732	4667	4579	0	4208	5518	5240	0	4437	5138	5568	0	3884	4893	5321	0
2	7	0.03961865621696405	3961	3632	2697	0	2966	4411	3356	0	2887	4289	3439	0	2705	3900	4783	0
2	(	0.011666279610067942	7747	8298	767	0	1434	9658	1466	0	1681	9056	1826	0	787	6642	9697	0
2	#	2.5052309794386264e-05	0	0	0	75	0	0	0	61	0	0	0	55	0	0	0	72
3	F	0.3261983233007528	31127	34649	32069	0	26621	35162	27751	0	34235	43296	35130	0	29006	27801	30058	0
3	A	0.09302861198388575	5528	6179	5855	0	4591	6644	5819	0	5331	6281	6545	0	4734	5561	6149	0
3	K	0.38322742354927797	17246	22043	16508	0	18442	23159	18236	0	20087	18338	18776	0	16804	17228	21245	0
3	,	0.08892600741983107	27421	23704	18880	0	18932	21631	19429	0	19235	22190	22555	0	17564	23334	28587	0
3	<	0.05816018948936991	4697	4744	4295	0	3646	5026	4515	0	4008	5010	4993	0	3680	4606	5241	0
3	7	0.03897312343290063	4387	3753	2918	0	2854	4175	3341	0	2931	4091	3343	0	2732	3962	4489	0
3	(	0.011460306724339831	8332	8547	802	0	1381	8950	1350	0	1702	8690	1682	0	782	6460	9630	0
